,RK,Player,Team,,▲,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
97,98,"Rios, A",KC,,425567,RF,105,385,40,98,22,2,4,32,15,67,9,0,.255,.287,.353,.640,0,5,0,6,136,28,10,108,128,0.84,1533,411
98,99,"Drew, S",NYY,,452220,2B,131,383,43,77,16,1,17,44,37,71,0,2,.201,.271,.381,.652,1,1,4,3,146,34,7,113,136,0.83,1661,428
99,100,"Pedroia, D",BOS,,456030,2B,93,381,46,111,19,1,12,42,38,51,2,2,.291,.356,.441,.797,1,2,1,3,168,32,6,128,101,1.27,1638,425
100,101,"Cron, C",LAA,,543068,1B,113,378,37,99,17,1,16,51,17,82,3,1,.262,.300,.439,.739,1,5,0,3,166,34,9,112,97,1.15,1534,404
101,102,"Goins, R",TOR,,572365,2B,128,376,52,94,16,4,5,45,39,83,2,1,.250,.318,.354,.672,0,1,7,5,133,25,12,147,78,1.88,1614,428
102,103,"Souza Jr., S",TB,,519306,RF,110,373,59,84,15,1,16,40,46,144,12,6,.225,.318,.399,.717,0,5,1,1,149,32,7,78,76,1.03,1717,426
103,104,"Sogard, E",OAK,,519299,2B,120,372,40,92,12,3,1,37,23,50,6,1,.247,.294,.304,.598,1,2,3,1,113,16,9,126,117,1.08,1459,401
104,105,"Gomes, Y",CLE,,543228,C,95,363,38,84,22,0,12,45,13,104,0,0,.231,.267,.391,.659,1,7,0,6,142,34,11,85,107,0.79,1471,389
105,105,"Paredes, J",BAL,,517370,DH,104,363,46,100,17,2,10,42,19,111,4,4,.275,.310,.416,.726,0,0,0,2,151,29,8,97,65,1.49,1408,384
106,107,"Loney, J",TB,,425766,1B,104,361,25,101,16,0,4,32,23,34,2,4,.280,.322,.357,.680,5,1,0,3,129,20,10,117,122,0.96,1306,388
107,107,"Murphy, D",LAA,,461815,LF,132,361,38,102,18,1,10,50,20,49,0,2,.283,.318,.421,.739,1,1,1,5,152,29,6,124,98,1.27,1480,391
108,109,"Gordon, A",KC,,460086,LF,104,354,40,96,18,0,13,48,49,92,2,5,.271,.377,.432,.809,7,14,0,5,153,31,2,79,94,0.84,1683,422
109,110,"Hicks, A",MIN,,543305,CF,97,352,48,90,11,3,11,33,34,66,13,3,.256,.323,.398,.721,2,2,0,2,140,25,6,100,104,0.96,1510,390
110,111,"Zunino, M",SEA,,572287,C,112,350,28,61,11,0,11,28,21,132,0,1,.174,.230,.300,.530,0,5,8,2,105,22,6,74,99,0.75,1582,386
111,112,"Valencia, D",OAK,,502143,3B,105,345,59,100,23,1,18,66,29,80,2,2,.290,.345,.519,.864,3,1,1,2,179,42,13,121,60,2.02,1386,378
112,113,"Gonzalez, M",HOU,,503556,LF,120,344,44,96,18,1,12,34,16,74,4,5,.279,.317,.442,.759,0,3,7,0,152,31,9,105,85,1.24,1310,370
113,114,"Davis, R",DET,,434658,CF,112,341,55,88,16,11,8,30,22,76,18,8,.258,.306,.440,.746,0,3,1,3,150,35,5,92,94,0.98,1382,370
114,115,"Marisnick, J",HOU,,545350,CF,133,339,46,80,15,4,9,36,18,105,24,9,.236,.281,.383,.665,0,5,6,4,130,28,2,82,84,0.98,1449,372
115,116,"Castro, J",HOU,,488771,C,104,337,38,71,19,0,11,31,33,115,0,0,.211,.283,.365,.648,1,2,0,3,123,30,5,73,86,0.85,1476,375
116,116,"Moss, B",CLE,,461235,RF,94,337,36,73,17,1,15,50,32,106,0,0,.217,.288,.407,.695,2,3,0,3,137,33,9,67,103,0.65,1464,375
117,118,"Trumbo, M",SEA,,444432,RF,96,334,39,88,13,0,13,41,26,93,0,0,.263,.316,.419,.735,1,0,0,1,140,26,8,74,88,0.84,1402,361
118,119,"Chisenhall, L",CLE,,502082,RF,106,333,38,82,19,1,7,44,23,69,4,1,.246,.294,.372,.667,3,1,2,3,124,27,0,84,103,0.82,1315,362
119,119,"Colabello, C",TOR,,499624,1B,101,333,55,107,19,1,15,54,22,96,2,0,.321,.367,.520,.886,0,3,0,2,173,35,12,96,48,2.00,1372,360
120,121,"Guyer, B",TB,,446386,LF,128,332,51,88,21,2,8,28,25,61,10,4,.265,.359,.413,.771,0,24,3,1,137,31,5,95,97,0.98,1426,385
121,122,"Flowers, T",CWS,,452095,C,112,331,21,79,12,0,9,39,21,104,0,1,.239,.295,.356,.652,0,6,2,1,118,21,8,86,73,1.18,1413,361
122,123,"Joseph, C",BAL,,543376,C,100,320,38,75,16,1,11,49,27,72,0,0,.234,.299,.394,.693,2,3,3,1,126,28,7,80,104,0.77,1364,355
123,124,"Young, C",NYY,,455759,RF,140,318,53,80,20,1,14,42,30,73,3,1,.252,.320,.453,.773,2,3,3,2,144,35,6,77,99,0.78,1418,356
124,125,"Ramirez, J",CLE,,608070,3B,97,315,50,69,14,3,6,27,32,39,10,4,.219,.291,.340,.631,0,1,5,2,107,23,5,116,103,1.13,1416,355
125,126,"Schoop, J",BAL,,570731,2B,86,305,34,85,17,0,15,39,9,79,2,0,.279,.306,.482,.788,0,4,1,2,147,32,9,81,72,1.13,1122,321
126,127,"Tucker, P",HOU,,605512,LF,98,300,35,73,19,0,13,33,20,68,0,2,.243,.297,.437,.734,0,3,0,0,131,32,3,86,76,1.13,1278,323
127,128,"Rivera, R",TB,,425784,C,110,298,16,53,14,0,5,26,11,86,0,0,.178,.213,.275,.489,0,3,5,2,82,19,4,80,90,0.89,1175,319
128,129,"Smoak, J",TOR,,475253,1B,132,296,44,67,16,1,18,59,29,86,0,0,.226,.299,.470,.768,0,2,0,1,139,35,10,95,59,1.61,1262,328
129,130,"Pearce, S",BAL,,456665,1B,92,294,42,64,13,1,15,40,23,69,1,1,.218,.289,.422,.711,1,7,0,1,124,29,11,75,98,0.77,1216,325
130,131,"Aviles, M",CLE,,449107,SS,98,290,37,67,10,0,5,17,20,38,3,1,.231,.282,.317,.599,0,1,5,1,92,15,18,117,92,1.27,1196,317
131,131,"Fuld, S",OAK,,453539,LF,120,290,34,57,16,3,2,22,30,55,9,3,.197,.276,.293,.569,1,2,2,1,85,21,6,126,61,2.07,1325,325
132,133,"Bourn, M",CLE,,456422,CF,95,289,29,71,12,1,0,19,29,76,13,5,.246,.313,.294,.608,0,0,7,1,85,13,2,89,63,1.41,1282,326
133,134,"DeJesus, D",LAA,,430203,LF,112,288,27,67,9,2,5,30,21,52,3,2,.233,.297,.330,.626,1,6,0,2,95,16,5,86,90,0.96,1195,317
134,134,"Martin, L",TEX,,547982,CF,95,288,26,63,12,0,5,25,16,69,14,5,.219,.264,.313,.576,1,2,3,1,90,17,5,98,67,1.46,1112,310
135,134,"Reyes, J",TOR,,408314,SS,69,288,36,82,17,0,4,34,17,38,16,2,.285,.322,.385,.708,0,0,4,2,111,21,3,84,93,0.90,1077,311
136,134,"Swihart, B",BOS,,596119,C,84,288,47,79,17,1,5,31,18,77,4,2,.274,.319,.392,.712,0,1,2,0,113,23,8,83,59,1.41,1210,309
137,138,"Sano, M",MIN,,593934,RF,80,279,46,75,17,1,18,52,53,119,1,1,.269,.385,.530,.916,1,1,0,2,148,36,4,39,52,0.75,1455,335
138,139,"Castillo, R",BOS,,628329,LF,80,273,35,69,10,2,5,29,13,54,4,5,.253,.288,.359,.647,0,1,1,1,98,17,11,111,52,2.13,1040,289
139,140,"Iannetta, C",LAA,,455104,C,92,272,28,51,10,0,10,34,41,83,0,1,.188,.293,.335,.628,1,1,0,3,91,20,11,69,83,0.83,1313,317
140,141,"Flaherty, R",BAL,,475247,2B,91,267,34,54,8,3,9,31,26,81,0,0,.202,.281,.356,.637,2,4,2,2,95,20,8,83,61,1.36,1149,301
141,141,"Urshela, G",CLE,,570482,3B,81,267,25,60,8,1,6,21,18,58,0,1,.225,.279,.330,.608,0,2,1,0,88,15,9,82,77,1.06,1077,288
142,143,"De Aza, A",BOS,,457477,LF,90,264,39,69,13,6,7,32,19,70,5,3,.261,.319,.436,.755,3,4,2,1,115,26,3,68,63,1.08,1177,290
143,144,"Santana, D",MIN,,542454,CF,91,261,30,56,10,5,0,21,6,68,8,4,.215,.241,.291,.532,1,3,7,0,76,15,7,98,53,1.85,940,277
144,145,"Perez, C",LAA,,542208,C,86,260,20,65,13,0,4,21,19,49,2,0,.250,.299,.346,.645,0,0,2,2,90,17,7,74,83,0.89,1076,283
145,146,"Wieters, M",BAL,,446308,C,75,258,24,69,14,1,8,25,21,67,0,0,.267,.319,.422,.742,0,0,0,3,109,23,4,74,55,1.35,1171,282
146,147,"Butler, J",TB,,542994,LF,88,257,30,71,12,0,8,30,16,82,5,2,.276,.326,.416,.742,0,3,0,0,107,20,16,92,28,3.29,1057,276
147,148,"Joyce, M",LAA,,459964,LF,93,247,17,43,12,1,5,21,30,67,0,3,.174,.272,.291,.564,1,4,1,2,72,18,5,68,77,0.88,1074,284
148,149,"Orlando, P",KC,,449181,RF,86,241,31,60,14,6,7,27,5,53,3,3,.249,.269,.444,.713,0,2,2,1,107,27,0,63,68,0.93,896,251
149,150,"Ackley, D",NYY,,554429,RF,108,238,28,55,11,3,10,30,18,45,2,2,.231,.284,.429,.712,0,1,3,4,102,24,3,81,67,1.21,1073,264
150,151,"Gillaspie, C",LAA,,543216,3B,75,237,14,54,15,2,4,24,13,47,0,1,.228,.269,.359,.627,2,1,0,2,85,21,2,78,62,1.26,866,253
151,152,"Saladino, T",CWS,,573135,SS,68,236,33,53,6,4,4,20,12,51,8,2,.225,.267,.335,.602,0,2,3,1,79,14,9,91,54,1.69,932,254
152,153,"Chirinos, R",TEX,,455139,C,78,233,33,54,16,1,10,34,28,62,0,0,.232,.325,.438,.762,0,5,5,2,102,27,4,55,73,0.75,1104,273
153,154,"Lowrie, J",HOU,,476704,3B,69,230,35,51,14,0,9,30,28,43,1,0,.222,.312,.400,.712,5,3,0,2,92,23,3,61,80,0.76,1086,263
154,155,"Revere, B",TOR,,519184,LF,56,226,35,72,9,1,1,19,13,28,7,2,.319,.354,.381,.734,0,1,3,3,86,11,1,75,58,1.29,841,246
155,155,"Shaw, T",BOS,,543768,3B,65,226,31,61,10,0,13,36,18,57,0,1,.270,.327,.487,.813,1,2,0,2,110,23,1,51,60,0.85,1022,248
156,157,"Phegley, J",OAK,,572033,C,73,225,27,56,16,1,9,34,14,51,0,0,.249,.300,.449,.749,0,3,0,1,101,26,5,54,70,0.77,870,243
157,158,"Parra, G",BAL,,467827,LF,55,224,30,53,12,0,5,20,8,35,5,1,.237,.268,.357,.625,1,2,3,1,80,17,1,75,66,1.14,846,238
158,159,"Bradley Jr., J",BOS,,598265,CF,74,221,43,55,17,4,10,43,27,69,3,0,.249,.335,.498,.832,0,3,1,3,110,31,5,63,43,1.47,1067,255
159,160,"Marte, K",SEA,,606466,SS,57,219,25,62,14,3,2,17,24,43,8,4,.283,.351,.402,.753,0,0,2,2,88,19,1,69,50,1.38,952,247
160,161,"Travis, D",TOR,,581527,2B,62,217,38,66,18,0,8,35,18,43,3,1,.304,.361,.498,.859,0,2,0,1,108,26,4,73,41,1.78,946,238
161,162,"Davis, I",OAK,,477195,1B,72,214,19,49,17,0,3,20,23,44,0,0,.229,.301,.350,.652,0,0,0,2,75,20,5,81,47,1.72,933,239
162,163,"Beckham, G",CWS,,493596,3B,100,211,24,44,8,0,6,20,19,43,0,1,.209,.275,.332,.607,1,2,1,4,70,14,6,72,63,1.14,938,237
163,163,"Snider, T",BAL,,501983,LF,69,211,23,50,9,2,3,20,23,56,1,0,.237,.318,.341,.659,1,2,0,0,72,14,3,58,50,1.16,962,236
164,165,"Beckham, T",TB,,542921,2B,82,203,24,45,7,4,9,37,13,69,3,1,.222,.274,.429,.702,0,3,0,4,87,20,3,59,37,1.59,899,223
165,166,"Conger, H",HOU,,474233,C,73,201,25,46,11,0,11,33,23,63,0,1,.229,.311,.448,.759,0,2,1,2,90,22,6,48,53,0.91,930,229
166,167,"Dyson, J",KC,,502481,RF,90,200,31,50,8,6,2,18,14,37,26,3,.250,.311,.380,.691,0,4,6,1,76,16,3,80,43,1.86,838,225
167,168,"Collins, T",DET,,607385,LF,60,192,18,51,11,3,4,25,13,43,2,1,.266,.316,.417,.732,0,1,1,0,80,18,2,49,52,0.94,752,207
168,169,"Nunez, E",MIN,,456488,SS,72,188,23,53,14,1,4,20,12,29,8,4,.282,.327,.431,.758,0,1,2,1,81,19,1,69,41,1.68,723,204
169,170,"Soto, G",CWS,,434567,C,78,187,20,41,8,0,9,21,21,63,0,1,.219,.301,.406,.708,0,1,1,0,76,17,2,41,45,0.91,875,210
170,171,"Jaso, J",TB,,444379,DH,70,185,23,53,17,0,5,22,28,39,1,2,.286,.380,.459,.839,1,1,0,2,85,22,5,63,37,1.70,870,216
171,172,"Perez, R",CLE,,547379,C,70,184,30,42,9,1,7,21,33,64,0,0,.228,.348,.402,.751,1,2,5,2,74,17,9,65,29,2.24,969,226
172,172,"Romine, A",DET,,461865,SS,109,184,25,47,5,0,2,15,11,46,10,5,.255,.307,.315,.622,1,3,4,1,58,7,4,65,35,1.86,756,203
173,174,"Robinson, S",MIN,,453203,LF,83,180,28,45,7,3,0,16,12,29,6,1,.250,.299,.322,.621,0,1,3,1,58,10,4,68,46,1.48,730,197
174,175,"Almonte, A",CLE,,501659,CF,51,178,30,47,9,5,5,20,16,33,6,0,.264,.321,.455,.776,0,0,0,2,81,19,4,65,39,1.67,729,196
175,175,"Avila, A",DET,,488671,C,67,178,21,34,5,0,4,13,40,66,0,1,.191,.339,.287,.626,0,0,1,0,51,9,4,44,39,1.13,980,219
176,175,"Victorino, S",LAA,,425664,LF,71,178,19,41,4,2,1,7,16,32,7,0,.230,.308,.292,.601,1,5,3,2,52,7,4,47,67,0.70,774,204
177,178,"Sizemore, G",TB,,429713,RF,58,175,20,45,12,0,6,27,14,37,3,3,.257,.318,.429,.746,0,2,0,1,75,18,1,40,55,0.73,711,192
178,178,"Vargas, K",MIN,,573627,1B,58,175,18,42,4,0,5,17,9,54,0,0,.240,.277,.349,.626,0,0,0,0,61,9,7,58,28,2.07,723,184
179,180,"Hanigan, R",BOS,,452672,C,54,174,28,43,8,0,2,16,20,39,0,0,.247,.337,.328,.664,0,4,1,1,57,10,6,65,35,1.86,847,201
180,180,"Young, D",BAL,,430321,RF,52,174,20,47,6,0,2,16,4,29,0,0,.270,.289,.339,.628,0,1,0,1,59,8,8,59,48,1.23,605,180
181,182,"Raburn, R",CLE,,430605,LF,82,173,22,52,16,1,8,29,23,44,0,0,.301,.393,.543,.936,3,4,0,1,94,25,5,48,35,1.37,853,201
182,183,"Carrera, E",TOR,,485567,LF,91,172,27,47,8,0,3,26,11,45,2,1,.273,.321,.372,.693,0,2,5,2,64,11,1,63,25,2.52,728,192
183,184,"Gutierrez, F",SEA,,429711,LF,59,171,27,50,11,0,15,35,14,54,0,0,.292,.354,.620,.974,1,3,0,1,106,26,5,41,32,1.28,843,189
184,184,"Navarro, D",TOR,,425900,C,54,171,17,42,7,0,5,20,17,29,0,0,.246,.307,.374,.682,1,0,0,4,64,12,0,46,58,0.79,746,192
185,186,"Hamilton, J",TEX,,285078,LF,50,170,22,43,8,0,8,25,10,52,0,0,.253,.291,.441,.732,0,0,0,2,75,16,1,46,32,1.44,674,182
186,186,"Reimold, N",BAL,,460099,LF,61,170,24,42,5,1,6,20,23,47,0,0,.247,.344,.394,.738,2,2,0,0,67,12,2,46,37,1.24,800,195
187,188,"Smolinski, J",OAK,,519295,LF,76,166,24,32,7,2,6,26,19,39,1,1,.193,.281,.367,.649,0,3,0,4,61,15,3,49,53,0.92,756,192
188,189,"Tulowitzki, T",TOR,,453064,SS,41,163,31,39,8,0,5,17,14,42,1,0,.239,.317,.380,.697,1,5,0,1,62,13,4,47,40,1.18,717,183
189,190,"Bird, G",NYY,,595885,1B,46,157,26,41,9,0,11,31,19,53,0,0,.261,.343,.529,.871,0,1,0,1,83,20,1,19,46,0.41,746,178
190,191,"Murphy, J",NYY,,571974,C,67,155,21,43,9,1,3,14,12,43,0,0,.277,.327,.406,.734,0,1,1,3,63,13,4,42,35,1.20,663,172
191,192,"Featherston, T",LAA,,605227,3B,101,154,23,25,5,1,2,9,7,46,4,2,.162,.212,.247,.459,0,3,4,1,38,8,3,54,37,1.46,636,169
192,193,"Gomez, C",HOU,,460576,CF,41,149,19,36,9,0,4,13,8,31,10,3,.242,.288,.383,.670,1,2,3,1,57,13,1,40,47,0.85,596,163
193,194,"Jones, G",NYY,,434540,RF,57,144,12,31,4,1,5,17,8,37,0,0,.215,.257,.361,.618,0,0,0,0,52,10,1,41,36,1.14,583,152
194,195,"Shuck, J",CWS,,543776,RF,79,143,15,38,8,2,0,15,16,16,7,5,.266,.340,.350,.689,0,1,3,2,50,10,2,62,34,1.82,622,165
195,196,"Elmore, J",TB,,518653,1B,51,141,10,29,5,0,2,16,12,25,1,1,.206,.263,.284,.547,1,0,2,3,40,7,6,51,47,1.09,597,158
196,197,"Nava, D",TB,,537953,RF,60,139,13,27,4,0,1,10,20,36,1,0,.194,.315,.245,.560,0,5,1,1,34,5,4,43,39,1.10,667,166
197,198,"Lough, D",BAL,,518953,LF,84,134,14,27,1,1,4,12,5,36,2,4,.201,.241,.313,.555,0,2,3,0,42,6,0,36,38,0.95,501,144
198,199,"Wilson, B",TEX,,435064,C,56,132,8,25,5,0,1,14,11,39,0,1,.189,.255,.250,.505,0,1,2,1,33,6,1,43,29,1.48,570,147
199,200,"Buxton, B",MIN,,621439,CF,46,129,16,27,7,1,2,6,6,44,2,2,.209,.250,.326,.576,0,1,2,0,42,10,1,27,34,0.79,513,138
