,RK,Player,Team,,▲,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
226,227,"Pompey, D",TOR,,592647,CF,34,94,17,21,8,0,2,6,7,23,5,1,.223,.291,.372,.664,0,2,0,0,35,10,1,23,28,0.82,376,103
227,227,"Taylor, C",SEA,,621035,SS,37,94,9,16,3,1,0,1,6,31,3,2,.170,.220,.223,.443,0,0,2,0,21,4,0,19,30,0.63,375,102
228,229,"Johnson, C",CLE,,453400,3B,27,90,6,26,4,0,1,7,3,25,0,0,.289,.312,.367,.678,0,0,0,0,33,5,2,26,15,1.73,380,93
229,230,"Weeks Jr., R",SEA,,430001,LF,37,84,7,14,1,0,2,9,9,25,0,0,.167,.263,.250,.513,0,2,0,0,21,3,3,27,21,1.29,393,95
230,231,"Navarro, E",LAA,,519068,LF,54,83,9,21,4,0,0,5,5,16,0,2,.253,.295,.301,.597,1,0,0,0,25,4,5,32,19,1.68,339,88
231,231,"Rua, R",TEX,,607387,LF,28,83,10,16,5,0,4,7,3,32,0,0,.193,.221,.398,.619,0,0,0,0,33,9,2,22,15,1.47,341,86
232,233,"Marte, J",DET,,527043,1B,33,80,9,17,4,0,4,11,8,22,0,0,.213,.284,.413,.697,0,0,2,0,33,8,2,26,19,1.37,335,90
233,234,"Craig, A",BOS,,501800,1B,36,79,6,12,1,0,1,3,7,26,0,0,.152,.239,.203,.441,0,2,0,0,16,2,2,27,16,1.69,365,88
234,234,"Olt, M",CWS,,592609,3B,24,79,6,16,0,0,3,4,7,29,0,1,.203,.267,.316,.584,0,0,0,0,25,3,2,23,13,1.77,374,86
235,236,"Bonifacio, E",CWS,,466988,2B,47,78,5,13,2,0,0,4,2,27,1,4,.167,.198,.192,.390,0,1,1,0,15,2,1,26,14,1.86,310,82
236,236,"Krauss, M",DET,,571868,1B,27,78,3,11,3,0,2,8,3,31,0,0,.141,.173,.256,.429,0,0,0,0,20,5,0,11,25,0.44,333,81
237,238,"Peguero, C",BOS,,451713,LF,34,75,11,14,4,0,4,9,13,37,2,0,.187,.311,.400,.711,0,1,0,1,30,8,1,11,15,0.73,371,90
238,238,"Pennington, C",TOR,,460060,SS,33,75,9,12,3,0,2,11,11,20,0,0,.160,.270,.280,.550,0,1,3,2,21,5,2,28,22,1.27,394,92
239,238,"Robertson, D",LAA,,543706,LF,37,75,10,21,2,0,0,7,2,7,0,0,.280,.299,.307,.605,1,0,3,0,23,2,1,27,24,1.13,278,80
240,241,"Pirela, J",NYY,,517369,2B,37,74,7,17,3,0,1,5,2,16,1,0,.230,.247,.311,.558,0,0,1,1,23,4,4,31,16,1.94,276,78
241,241,"Rutledge, J",BOS,,592710,2B,39,74,11,21,1,0,1,10,5,26,0,0,.284,.333,.338,.671,1,2,1,3,25,2,0,13,18,0.72,351,85
242,241,"Shaffer, R",TB,,572128,3B,31,74,11,14,3,0,4,6,10,32,0,1,.189,.307,.392,.699,0,3,0,1,29,7,2,15,16,0.94,364,88
243,244,"Arencibia, J",TB,,450317,C,24,71,9,22,3,0,6,17,1,22,0,0,.310,.315,.606,.921,0,0,0,1,43,9,1,13,16,0.81,260,73
244,245,"Ruggiano, J",SEA,,448605,RF,36,70,8,15,4,0,2,3,11,27,3,2,.214,.321,.357,.678,0,0,0,0,25,6,0,13,15,0.87,333,81
245,246,"Bloomquist, W",SEA,,217100,SS,35,69,2,11,1,0,0,4,2,13,1,1,.159,.194,.174,.368,0,1,0,0,12,1,2,24,23,1.04,240,72
246,246,"Cowgill, C",LAA,,518577,LF,55,69,10,13,2,1,1,2,4,19,2,1,.188,.233,.290,.523,0,0,1,0,20,4,1,21,18,1.17,254,74
247,246,"Schafer, J",MIN,,457788,CF,27,69,9,15,3,0,0,5,3,23,0,3,.217,.250,.261,.511,0,0,2,0,18,3,0,22,11,2.00,299,74
248,249,"Machado, D",DET,,553988,SS,24,68,6,16,3,0,0,5,7,14,1,0,.235,.307,.279,.586,0,0,3,0,19,3,3,30,14,2.14,287,78
249,250,"Blanks, K",TEX,,452035,1B,18,67,10,21,5,0,3,6,4,20,1,0,.313,.352,.522,.875,0,0,0,0,35,8,1,12,15,0.80,279,71
250,251,"Venable, W",TEX,,461416,CF,37,66,6,12,3,0,0,3,12,21,5,0,.182,.325,.227,.552,2,2,2,0,15,3,0,27,8,3.38,360,82
251,252,"Holaday, B",DET,,592407,C,24,64,3,18,5,0,2,13,1,13,0,0,.281,.292,.453,.745,0,0,0,0,29,7,0,11,22,0.50,253,65
252,253,"Arcia, O",MIN,,542455,LF,19,58,6,16,0,0,2,8,4,15,0,0,.276,.338,.379,.718,4,2,0,1,22,2,2,12,18,0.67,224,65
253,254,"Marrero, D",BOS,,571918,SS,25,53,8,12,0,0,1,3,3,19,2,1,.226,.268,.283,.551,0,0,0,0,15,1,0,12,10,1.20,216,56
254,255,"Gentry, C",OAK,,502226,LF,26,50,6,6,0,2,0,3,4,15,1,1,.120,.196,.200,.396,0,1,0,1,10,2,0,14,16,0.88,203,56
255,256,"Grossman, R",HOU,,543257,LF,24,49,7,7,2,0,1,5,5,17,0,0,.143,.222,.245,.467,0,0,0,0,12,3,0,15,10,1.50,216,54
256,256,"Thole, J",TOR,,489365,C,18,49,5,10,2,0,0,2,3,9,0,0,.204,.250,.245,.495,0,0,0,0,12,2,2,18,14,1.29,194,52
257,258,"Singleton, J",HOU,,572138,1B,19,47,6,9,2,0,1,6,10,17,1,0,.191,.328,.298,.625,0,0,0,1,14,3,0,5,17,0.29,251,58
258,259,"Cowart, K",LAA,,592230,3B,34,46,8,8,2,0,1,4,5,19,1,1,.174,.255,.283,.538,0,0,1,0,13,3,1,15,6,2.50,209,52
259,259,"Cuthbert, C",KC,,596144,3B,19,46,6,10,2,1,1,8,4,9,0,0,.217,.280,.370,.650,0,0,0,0,17,4,0,13,14,0.93,177,50
260,261,"Strausborger, R",TEX,,595005,LF,31,45,9,9,0,0,1,3,3,11,2,1,.200,.240,.267,.507,0,0,1,2,12,1,1,16,13,1.23,194,51
261,262,"Refsnyder, R",NYY,,608701,2B,16,43,3,13,3,0,2,5,3,7,2,0,.302,.348,.512,.859,1,0,0,0,22,5,3,21,5,4.20,184,47
262,263,"Green, G",LAA,,502205,2B,21,42,6,8,0,0,1,3,2,14,0,1,.190,.227,.262,.489,1,0,0,0,11,1,2,16,6,2.67,159,44
263,263,"O'Malley, S",SEA,,502523,LF,24,42,10,11,1,0,1,7,12,14,3,0,.262,.418,.357,.775,0,0,2,1,15,2,0,13,7,1.86,215,57
264,263,"Petit, G",NYY,,463610,2B,20,42,7,7,3,0,0,5,3,16,0,0,.167,.217,.238,.455,1,0,1,1,10,3,0,15,6,2.50,179,47
265,266,"Field, T",TEX,,474494,2B,14,41,6,8,1,0,2,5,2,16,1,0,.195,.250,.366,.616,0,1,1,0,15,3,0,12,6,2.00,196,45
266,266,"Tolleson, S",TOR,,476270,2B,19,41,9,11,5,1,0,3,4,9,2,0,.268,.333,.439,.772,0,0,0,0,18,6,1,17,5,3.40,143,45
267,268,"Santana, D",HOU,,570267,RF,14,39,6,10,2,0,2,8,2,17,2,1,.256,.310,.462,.771,0,1,0,0,18,4,1,10,3,3.33,177,42
268,269,"Wilson, J",DET,,425543,2B,21,38,4,12,3,0,0,5,0,15,0,0,.316,.350,.395,.745,0,2,1,0,15,3,1,7,6,1.17,135,41
269,270,"Kubitza, K",LAA,,605323,3B,19,36,6,7,0,0,0,1,3,15,0,0,.194,.256,.194,.451,0,0,0,0,7,0,2,9,7,1.29,166,39
270,271,"Janish, P",BAL,,457926,SS,14,35,4,10,3,0,0,3,0,3,0,0,.286,.278,.371,.649,0,0,0,1,13,3,0,13,10,1.30,124,36
271,271,"Maile, L",TB,,571912,C,15,35,2,6,3,0,0,2,0,8,0,0,.171,.171,.257,.429,0,0,0,0,9,3,3,13,11,1.18,127,35
272,273,"Urrutia, H",BAL,,625329,LF,10,34,3,9,1,0,1,6,2,3,0,0,.265,.306,.382,.688,0,0,0,0,13,2,1,14,9,1.56,121,36
273,274,"Brantly, R",CWS,,542963,C,14,33,3,4,1,0,1,6,2,8,0,0,.121,.167,.242,.409,0,0,0,1,8,2,1,13,10,1.30,145,36
274,274,"Perez, H",DET,,541650,2B,22,33,1,2,0,0,0,0,1,11,1,0,.061,.088,.061,.149,0,0,0,0,2,0,2,11,11,1.00,119,34
275,276,"Flores, R",SEA,,570717,LF,12,32,3,7,1,0,0,0,0,4,0,0,.219,.219,.250,.469,0,0,1,0,8,1,0,11,11,1.00,114,33
276,276,"Hayes, B",CLE,,451109,C,14,32,4,5,0,0,3,6,3,7,0,0,.156,.229,.438,.666,0,0,1,0,14,3,0,7,14,0.50,138,36
277,276,"Hicks, J",SEA,,543308,C,17,32,1,2,1,0,0,1,1,18,1,1,.063,.091,.094,.185,0,0,1,0,3,1,0,3,10,0.30,144,34
278,279,"Blair, C",OAK,,542942,C,11,31,3,4,0,0,1,3,4,18,0,0,.129,.229,.226,.454,0,0,0,0,7,1,1,6,4,1.50,155,35
279,279,"Dykstra, A",TB,,488852,1B,13,31,3,4,0,0,1,4,6,12,0,0,.129,.289,.226,.515,0,1,0,0,7,1,2,11,6,1.83,155,38
280,279,"Saunders, M",TOR,,459431,RF,9,31,2,6,0,0,0,3,5,10,0,0,.194,.306,.194,.499,0,0,0,0,6,0,1,13,3,4.33,159,36
281,282,"Gomes, J",KC,,430404,LF,12,30,2,5,2,0,0,4,3,14,0,0,.167,.235,.233,.469,0,0,0,1,7,2,1,5,8,0.63,120,34
282,282,"Martinez, M",CLE,,492841,LF,16,30,7,8,2,0,0,2,1,12,0,1,.267,.290,.333,.624,0,0,1,0,10,2,1,10,2,5.00,134,32
283,282,"Walters, Z",CLE,,595025,LF,12,30,0,4,0,0,0,3,0,15,0,0,.133,.133,.133,.267,0,0,0,0,4,0,0,5,6,0.83,118,30
284,285,"Alvarez, D",BAL,,645848,RF,12,29,3,7,1,0,1,1,2,8,0,0,.241,.290,.379,.670,0,0,0,0,11,2,0,6,8,0.75,98,31
285,285,"Jones, J",SEA,,571825,CF,28,29,1,3,1,0,0,0,2,13,1,1,.103,.161,.138,.299,0,0,0,0,4,1,0,7,6,1.17,149,31
286,285,"Navarro, R",BAL,,519071,2B,10,29,5,8,2,0,1,3,0,3,0,0,.276,.276,.448,.724,0,0,1,0,13,3,0,4,15,0.27,93,30
287,288,"Kawasaki, M",TOR,,493128,2B,23,28,6,6,2,0,0,2,4,6,0,1,.214,.313,.286,.598,0,0,2,0,8,2,1,14,5,2.80,122,34
288,288,"Lavarnway, R",BAL,,543432,C,10,28,1,3,1,0,0,0,4,7,0,0,.107,.219,.143,.362,0,0,0,0,4,1,1,6,13,0.46,138,32
289,290,"Castillo, W",SEA,,456078,C,6,25,3,4,0,0,0,2,1,5,0,0,.160,.179,.160,.339,0,0,0,2,4,0,2,10,10,1.00,96,28
290,290,"Heathcott, S",NYY,,571761,CF,17,25,6,10,2,0,2,8,2,5,0,1,.400,.429,.720,1.149,0,0,0,1,18,4,0,4,7,0.57,111,30
291,292,"Barney, D",TOR,,446381,2B,15,23,4,7,1,0,2,4,1,2,0,0,.304,.333,.609,.942,0,0,2,0,14,3,0,9,7,1.29,88,26
292,293,"Fryer, E",MIN,,518700,C,15,22,2,5,2,0,0,2,5,11,0,0,.227,.370,.318,.689,0,0,0,0,7,2,0,3,3,1.00,119,27
293,293,"Lake, J",BAL,,516809,RF,8,22,2,3,3,0,0,0,0,9,0,0,.136,.136,.273,.409,0,0,0,0,6,3,0,6,4,1.50,85,22
294,293,"Moya, S",DET,,570615,RF,9,22,1,4,0,1,0,0,3,10,0,0,.182,.280,.273,.553,0,0,0,0,6,1,0,2,6,0.33,98,25
295,293,"Nieuwenhuis, K",LAA,,543590,CF,10,22,4,3,2,0,0,1,2,9,0,1,.136,.208,.227,.436,0,0,0,0,5,2,0,7,3,2.33,95,24
296,293,"Ross, C",OAK,,425496,RF,9,22,3,2,0,0,0,3,3,6,0,0,.091,.200,.091,.291,0,0,0,0,2,0,0,6,8,0.75,104,25
297,298,"Romero, S",SEA,,552662,RF,13,21,6,4,1,0,1,3,3,6,0,0,.190,.292,.381,.673,0,0,0,0,8,2,0,4,7,0.57,113,24
298,298,"Stubbs, D",TEX,,453211,CF,27,21,6,2,1,0,0,0,5,10,3,0,.095,.269,.143,.412,0,0,0,0,3,1,0,4,5,0.80,129,26
299,298,"Williams, M",NYY,,592863,CF,8,21,3,6,3,0,1,3,1,3,0,0,.286,.318,.571,.890,0,0,0,0,12,4,0,8,4,2.00,74,22
300,301,"Holt, T",CLE,,534627,CF,9,20,2,2,0,0,0,0,1,9,0,0,.100,.143,.100,.243,0,0,0,0,2,0,0,3,6,0.50,76,21
301,302,"Aguilar, J",CLE,,542583,1B,7,19,0,6,1,0,0,2,0,7,0,0,.316,.350,.368,.718,0,1,0,0,7,1,0,2,4,0.50,80,20
302,303,"Ladendorf, T",OAK,,502285,2B,9,17,3,4,0,1,0,2,1,2,0,0,.235,.278,.353,.631,0,0,0,0,6,1,0,5,6,0.83,64,18
303,304,"Hoes, L",HOU,,543321,RF,8,15,1,4,0,0,0,1,1,3,0,0,.267,.313,.267,.579,0,0,0,0,4,0,0,5,3,1.67,55,16
304,304,"Stassi, M",HOU,,545358,C,11,15,4,6,0,0,1,2,1,5,0,0,.400,.438,.600,1.038,0,0,1,0,9,1,1,4,2,2.00,66,17
305,306,"Garcia, L",CWS,,544725,2B,17,14,0,3,0,0,0,1,1,7,1,0,.214,.267,.214,.481,0,0,0,0,3,0,0,4,0,*.**,62,15
306,307,"Diaz, J",TOR,,502409,SS,7,13,1,2,0,0,0,2,1,3,0,0,.154,.267,.154,.421,0,1,1,0,2,0,0,7,2,3.50,66,16
307,308,"Hague, M",TOR,,518755,1B,10,12,1,3,1,0,0,0,2,4,0,0,.250,.400,.333,.733,1,1,0,0,4,1,0,2,3,0.67,62,15
308,308,"Presley, A",HOU,,502100,LF,8,12,1,3,0,0,0,1,1,5,0,0,.250,.308,.250,.558,0,0,0,0,3,0,0,3,1,3.00,57,13
309,310,"Baron, S",SEA,,571467,C,4,11,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,0,0,0,0,0,0,2,8,3,2.67,31,11
310,310,"Telis, T",TEX,,542513,C,6,11,1,2,0,0,0,2,0,1,0,0,.182,.250,.182,.432,0,1,0,0,2,0,0,6,2,3.00,39,12
311,312,"Polanco, J",MIN,,593871,SS,4,10,1,3,0,0,0,1,2,1,1,0,.300,.417,.300,.717,0,0,0,0,3,0,0,4,2,2.00,47,12
312,313,"Jackson, R",LAA,,474249,SS,22,9,0,0,0,0,0,0,1,5,0,0,.000,.100,.000,.100,0,0,4,0,0,0,1,9,0,*.**,48,14
313,313,"Price, D",TOR,,456034,P,3,9,0,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000,0,0,0,0,0,0,1,7,0,*.**,28,9
314,313,"Pridie, J",OAK,,445095,CF,6,9,0,0,0,0,0,0,1,4,0,0,.000,.100,.000,.100,0,0,0,0,0,0,0,3,2,1.50,35,10
315,313,"Sale, C",CWS,,519242,P,3,9,1,1,0,0,0,0,0,4,0,0,.111,.111,.111,.222,0,0,0,0,1,0,0,3,1,3.00,35,9
316,313,"Walker, C",BAL,,572233,1B,7,9,0,1,0,0,0,0,3,4,0,0,.111,.333,.111,.444,0,0,0,0,1,0,0,3,1,3.00,48,12
317,313,"Walker, T",SEA,,592836,P,4,9,0,1,1,0,0,1,0,5,0,0,.111,.111,.222,.333,0,0,1,0,2,1,0,2,2,1.00,35,10
318,313,"Weeks, J",BOS,,457789,2B,3,9,1,3,0,0,0,1,0,2,0,0,.333,.333,.333,.667,0,0,0,0,3,0,0,2,2,1.00,44,9
319,320,"Duffy, M",HOU,,592274,3B,8,8,0,3,1,0,0,3,1,2,0,0,.375,.444,.500,.944,0,0,0,0,4,1,0,2,1,2.00,49,9
320,320,"Figueroa, C",NYY,,502676,3B,2,8,2,2,2,0,0,0,0,0,0,0,.250,.250,.500,.750,0,0,0,0,4,2,0,3,3,1.00,25,8
321,320,"Jimenez, U",BAL,,434622,P,4,8,0,2,0,0,0,2,0,4,0,0,.250,.250,.250,.500,0,0,0,0,2,0,0,2,0,*.**,26,8
322,320,"McHugh, C",HOU,,543521,P,3,8,1,1,0,0,0,0,0,4,0,0,.125,.125,.125,.250,0,0,0,0,1,0,0,1,2,0.50,31,8
323,320,"Quintana, J",CWS,,500779,P,4,8,0,0,0,0,0,0,0,5,0,0,.000,.000,.000,.000,0,0,1,0,0,0,0,4,0,*.**,24,9
324,325,"Buehrle, M",TOR,,279824,P,4,7,0,1,0,0,0,0,1,3,0,0,.143,.250,.143,.393,0,0,1,0,1,0,0,4,0,*.**,37,9
325,325,"Kepler, M",MIN,,596146,RF,3,7,0,1,0,0,0,0,0,3,0,0,.143,.143,.143,.286,0,0,0,0,1,0,0,2,1,2.00,37,7
326,325,"Pena, F",KC,,506747,C,8,7,0,1,0,0,0,0,0,3,0,0,.143,.143,.143,.286,0,0,0,0,1,0,1,4,0,*.**,26,7
327,325,"Tanaka, M",NYY,,547888,P,4,7,0,0,0,0,0,0,1,2,0,0,.000,.125,.000,.125,0,0,0,0,0,0,0,5,0,*.**,39,8
328,329,"Bauer, T",CLE,,545333,P,3,6,0,1,0,0,0,0,1,1,0,0,.167,.286,.167,.452,0,0,0,0,1,0,0,3,1,3.00,30,7
329,329,"Buchholz, C",BOS,,453329,P,2,6,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,3,1,3.00,30,6
330,329,"Estrada, M",TOR,,462136,P,2,6,0,2,0,0,0,0,0,2,0,0,.333,.333,.333,.667,0,0,0,0,2,0,0,2,0,*.**,20,6
331,329,"Gray, S",OAK,,543243,P,2,6,0,1,0,0,0,0,0,4,0,0,.167,.167,.167,.333,0,0,0,0,1,0,0,1,0,*.**,19,6
332,329,"Kluber, C",CLE,,446372,P,2,6,0,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000,0,0,0,0,0,0,1,3,1,3.00,19,6
333,329,"Marte, A",LAA,,501245,LF,5,6,0,2,0,0,0,0,1,1,0,0,.333,.500,.333,.833,0,1,0,0,2,0,0,2,1,2.00,31,8
334,329,"Parrino, A",OAK,,519107,SS,17,6,1,0,0,0,0,0,2,5,0,0,.000,.250,.000,.250,0,0,0,0,0,0,0,0,1,0.00,34,8
335,329,"Ventura, Y",KC,,570649,P,3,6,0,0,0,0,0,0,0,5,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,0,1,0.00,27,6
336,329,"Volquez, E",KC,,450172,P,3,6,0,0,0,0,0,0,0,4,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,1,1,1.00,22,6
337,329,"Wilson, C",LAA,,450351,P,2,6,0,2,0,0,0,0,0,1,0,0,.333,.333,.333,.667,0,0,0,0,2,0,0,2,1,2.00,18,6
338,339,"Anderson, B",OAK,,457762,C,4,5,0,2,0,0,0,1,1,1,0,0,.400,.429,.400,.829,0,0,1,1,2,0,0,2,2,1.00,32,8
339,339,"Archer, C",TB,,502042,P,2,5,0,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,2,0,*.**,21,5
340,339,"Bernier, D",MIN,,448674,SS,4,5,1,1,1,0,0,2,1,3,0,0,.200,.333,.400,.733,0,0,0,0,2,1,0,0,1,0.00,28,6
341,339,"Coleman, D",KC,,543038,3B,4,5,0,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,0,2,0.00,14,5
342,339,"Eovaldi, N",NYY,,543135,P,3,5,1,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,2,1,2.00,22,5
343,339,"Gibson, K",MIN,,502043,P,2,5,0,1,0,0,0,0,0,2,0,0,.200,.200,.200,.400,0,0,0,0,1,0,0,2,0,*.**,15,5
344,339,"Greene, S",DET,,572888,P,2,5,0,0,0,0,0,0,0,5,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,0,0,-.--,21,5
345,339,"Heaney, A",LAA,,571760,P,2,5,0,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000,0,0,1,0,0,0,0,2,1,2.00,19,6
346,339,"Kelly, J",BOS,,523260,P,2,5,0,1,0,0,0,1,0,2,0,0,.200,.200,.200,.400,0,0,0,0,1,0,0,2,0,*.**,16,5
347,339,"Keuchel, D",HOU,,572971,P,2,5,0,1,0,0,0,0,0,4,0,0,.200,.200,.200,.400,0,0,1,0,1,0,0,1,0,*.**,19,6
348,339,"Santiago, H",LAA,,502327,P,3,5,0,1,0,0,0,0,0,3,0,0,.200,.200,.200,.400,0,0,0,0,1,0,1,2,0,*.**,17,5
349,339,"Simon, A",DET,,430580,P,2,5,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,3,0,*.**,17,5
350,351,"Cecchini, G",BOS,,594555,3B,2,4,0,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,0,1,0.00,13,4
351,351,"Farmer, B",DET,,571656,P,2,4,0,1,0,0,0,0,0,3,0,0,.250,.250,.250,.500,0,0,0,0,1,0,0,0,0,-.--,17,4
352,351,"Gallardo, Y",TEX,,451596,P,2,4,0,2,1,0,0,0,0,1,0,0,.500,.500,.750,1.250,0,0,0,0,3,1,0,1,0,*.**,16,4
353,351,"Guthrie, J",KC,,425386,P,2,4,0,1,0,0,0,0,0,0,0,0,.250,.250,.250,.500,0,0,1,0,1,0,0,3,1,3.00,14,5
354,351,"Karns, N",TB,,501992,P,2,4,1,1,0,0,1,1,0,3,0,0,.250,.250,1.000,1.250,0,0,1,0,4,1,0,1,0,*.**,18,5
355,351,"Kazmir, S",HOU,,431148,P,2,4,1,1,0,0,0,1,0,2,0,0,.250,.250,.250,.500,0,0,0,0,1,0,0,1,0,*.**,15,4
356,351,"Kratz, E",SEA,,456124,C,4,4,0,0,0,0,0,1,0,2,0,0,.000,.000,.000,.000,0,0,0,1,0,0,0,2,1,2.00,21,5
357,351,"Martinez, N",TEX,,607259,P,2,4,2,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,2,1,2.00,11,4
358,351,"Moore, A",CLE,,446192,C,1,4,0,1,0,0,0,1,0,2,0,0,.250,.250,.250,.500,0,0,0,0,1,0,0,0,1,0.00,15,4
359,351,"Norris, B",BAL,,502032,P,2,4,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,1,2,0.50,10,4
360,351,"Odorizzi, J",TB,,543606,P,2,4,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,2,0,*.**,16,4
361,351,"Salazar, D",CLE,,517593,P,2,4,0,0,0,0,0,0,0,4,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,0,0,-.--,14,4
362,351,"Sanchez, A",DET,,434671,P,2,4,0,0,0,0,0,0,0,4,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,0,0,-.--,14,4
363,351,"Young, C",KC,,432934,P,3,4,0,2,0,0,0,3,0,1,0,0,.500,.500,.500,1.000,0,0,0,0,2,0,0,1,0,*.**,9,4
364,365,"Anderson, C",CLE,,594736,P,2,3,0,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,0,0,-.--,10,3
365,365,"Brett, R",TB,,592166,2B,3,3,0,2,1,0,0,0,1,0,0,0,.667,.750,1.000,1.750,0,0,0,0,3,1,0,0,1,0.00,20,4
366,365,"Calixte, O",KC,,593525,SS,2,3,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,2,1,2.00,9,3
367,365,"Chavez, J",OAK,,445926,P,3,3,0,1,0,0,0,0,0,2,0,0,.333,.333,.333,.667,0,0,2,0,1,0,0,2,0,*.**,16,5
368,365,"Dickey, R",TOR,,285079,P,2,3,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,0,0,1,0,0,0,0,1,2,0.50,8,4
369,365,"Fields, D",DET,,571665,LF,1,3,1,1,1,0,0,0,0,2,0,0,.333,.333,.667,1.000,0,0,0,0,2,1,0,0,0,-.--,15,3
370,365,"Gore, T",KC,,605253,LF,9,3,1,0,0,0,0,0,0,1,3,0,.000,.250,.000,.250,0,1,0,0,0,0,0,1,1,1.00,12,4
371,365,"Hahn, J",OAK,,534910,P,1,3,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,1,0,*.**,13,3
372,365,"Hamels, C",TEX,,430935,P,1,3,0,1,0,0,0,0,0,2,0,0,.333,.333,.333,.667,0,0,0,0,1,0,0,0,0,-.--,9,3
373,365,"Hernandez, F",SEA,,433587,P,1,3,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,2,0,*.**,11,3
374,365,"Hughes, P",MIN,,461833,P,1,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,3,0,*.**,14,3
375,365,"Masterson, J",BOS,,475416,P,1,3,0,2,0,0,0,1,0,1,0,0,.667,.667,.667,1.333,0,0,0,0,2,0,0,0,0,-.--,9,3
376,365,"May, T",MIN,,543507,P,3,3,0,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,0,0,-.--,12,3
377,365,"Montgomery, M",SEA,,543557,P,1,3,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,0,1,0.00,9,3
378,365,"Nolasco, R",MIN,,445060,P,1,3,0,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,0,0,-.--,14,3
379,365,"Pelfrey, M",MIN,,460059,P,2,3,0,2,0,0,0,0,0,1,0,0,.667,.667,.667,1.333,0,0,0,0,2,0,0,0,0,-.--,12,3
380,365,"Sabathia, C",NYY,,282332,P,1,3,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,0,1,0.00,8,3
381,365,"Warren, A",NYY,,476589,P,2,3,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,1,1,1.00,14,3
382,383,"Bandy, J",LAA,,542908,C,2,2,1,1,0,0,1,1,0,0,0,0,.500,.500,2.000,2.500,0,0,0,0,4,1,0,0,1,0.00,8,2
383,383,"Bassitt, C",OAK,,605135,P,1,2,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,1,0,*.**,9,2
384,383,"Bianchi, J",BOS,,488703,SS,3,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,2,0,*.**,9,2
385,383,"Brooks, A",OAK,,605156,P,1,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,1,1,1.00,10,2
386,383,"Feldman, S",HOU,,444857,P,1,2,0,1,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,0,0,0,0,1,0,0,0,0,-.--,10,2
387,383,"Harrison, M",TEX,,457448,P,1,2,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,0,0,1,0,0,0,0,2,0,*.**,11,3
388,383,"Hernandez, R",HOU,,433584,P,1,2,1,0,0,0,0,0,1,2,0,0,.000,.333,.000,.333,0,0,0,0,0,0,0,0,0,-.--,13,3
389,383,"Iwakuma, H",SEA,,547874,P,2,2,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,0,0,1,0,0,0,0,1,0,*.**,8,3
