,RK,Player,Team,,▲,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
0,1," Judge, A",NYY, ,592450,RF,155,542,128,154,24,3,52,114,127,208,9,4,.284,.422,.627,1.049,11,5,0,4,340,79,15,100,99,1.01,2989,678
1,2," Williams, M",NYY, ,592863,RF,5,16,3,4,0,0,0,1,1,2,2,0,.250,.294,.250,.544,0,0,0,0,4,0,0,4,6,0.67,77,17
