,RK,Player,Team,,▲,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
0,1,"Hicks, A",NYY,,543305,CF,88,301,54,80,18,0,15,52,51,67,10,5,.266,.372,.475,.847,0,3,1,5,143,33,8,90,78,1.15,1483,361
1,2,"Ellsbury, J",NYY,,453056,CF,112,356,65,94,20,4,7,39,41,63,22,3,.264,.348,.402,.750,3,5,2,0,143,31,7,113,95,1.19,1563,409
2,3,"Fowler, D",NYY,,641583,CF,1,0,0,0,0,0,0,0,0,0,0,0,.---,.---,.---,.000,0,0,0,0,0,0,0,0,0,-.--,0,0
