,RK,Player,Team,,▲,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
0,1,"Judge, A",NYY,,592450,RF,155,542,128,154,24,3,52,114,127,208,9,4,.284,.422,.627,1.049,11,5,0,4,340,79,15,100,99,1.01,2989,678
1,2,"Williams, M",NYY,,592863,RF,5,16,3,4,0,0,0,1,1,2,2,0,.250,.294,.250,.544,0,0,0,0,4,0,0,4,6,0.67,77,17
0,1,"Hicks, A",NYY,,543305,CF,88,301,54,80,18,0,15,52,51,67,10,5,.266,.372,.475,.847,0,3,1,5,143,33,8,90,78,1.15,1483,361
1,2,"Ellsbury, J",NYY,,453056,CF,112,356,65,94,20,4,7,39,41,63,22,3,.264,.348,.402,.750,3,5,2,0,143,31,7,113,95,1.19,1563,409
2,3,"Fowler, D",NYY,,641583,CF,1,0,0,0,0,0,0,0,0,0,0,0,.---,.---,.---,.000,0,0,0,0,0,0,0,0,0,-.--,0,0
0,1,"Gardner, B",NYY,,458731,LF,151,594,96,157,26,4,21,63,72,122,23,5,.264,.350,.428,.778,2,8,5,3,254,51,4,165,162,1.02,2890,682
1,2,"Frazier, C",NYY,,640449,LF,39,134,16,31,9,4,4,17,7,43,1,0,.231,.268,.448,.715,0,0,0,1,60,17,2,29,34,0.85,565,142
